LeaveID,EmpID,Date,Reason,LeaveDays
74,12,2024-05-26,Maternity/Paternity Leave,5
75,13,2024-07-23,Maternity/Paternity Leave,3
76,13,2024-03-07,Family Emergency,1
77,13,2024-01-19,Medical Leave,3
78,13,2024-12-11,Medical Leave,1
79,13,2024-10-16,Sick Leave,2
80,13,2024-01-17,Sick Leave,1
81,14,2024-10-03,Family Emergency,3
82,14,2024-07-04,Family Emergency,2
83,14,2024-10-20,Personal Work,1
84,15,2024-11-19,Casual Leave,2
85,15,2024-05-07,Casual Leave,3
86,15,2024-04-09,Sick Leave,2
87,15,2024-11-21,Maternity/Paternity Leave,1
88,15,2024-06-25,Medical Leave,1
89,15,2024-08-20,Personal Work,2
90,15,2024-02-18,Vacation,1
91,15,2024-03-12,Family Emergency,1
92,16,2024-05-06,Vacation,2
93,16,2024-10-26,Medical Leave,3
94,16,2024-11-27,Vacation,2
95,16,2024-11-04,Vacation,1
96,16,2024-02-04,Sick Leave,3
97,16,2024-05-10,Family Emergency,2
98,16,2024-12-11,Vacation,1
99,17,2024-05-28,Personal Work,1
100,17,2024-11-14,Vacation,5
101,17,2024-01-01,Sick Leave,1
102,17,2024-11-09,Maternity/Paternity Leave,1
103,17,2024-09-23,Medical Leave,2
104,17,2024-02-03,Sick Leave,3
105,17,2024-09-02,Casual Leave,5
106,17,2024-10-18,Emergency Leave,1
107,17,2024-03-02,Casual Leave,1
108,18,2024-06-07,Family Emergency,3
109,18,2024-11-04,Emergency Leave,1
110,19,2024-04-28,Sick Leave,1
111,19,2024-07-01,Casual Leave,1
112,19,2024-07-26,Family Emergency,3
113,19,2024-05-06,Personal Work,5
114,20,2024-01-28,Family Emergency,2
115,20,2024-04-27,Casual Leave,2
116,20,2024-05-27,Family Emergency,5
117,20,2024-04-01,Family Emergency,3
118,20,2024-07-11,Personal Work,1
119,20,2024-05-12,Emergency Leave,3
120,20,2024-11-27,Casual Leave,2
121,20,2024-01-04,Sick Leave,1
122,21,2024-01-04,Emergency Leave,2
123,21,2024-06-24,Casual Leave,5
124,21,2024-07-20,Personal Work,2
125,21,2024-07-19,Vacation,1
126,21,2024-01-23,Medical Leave,2
127,21,2024-09-26,Family Emergency,2
128,22,2024-07-03,Casual Leave,3
129,22,2024-10-11,Personal Work,3
130,22,2024-12-10,Vacation,2
131,22,2024-11-14,Emergency Leave,1
132,22,2024-12-10,Sick Leave,2
133,22,2024-04-14,Emergency Leave,3
134,22,2024-11-24,Vacation,1
135,23,2024-09-27,Vacation,1
136,23,2024-05-07,Casual Leave,2
137,23,2024-08-15,Family Emergency,2
138,23,2024-09-16,Sick Leave,5
139,23,2024-11-03,Casual Leave,1
140,23,2024-02-27,Family Emergency,5
141,23,2024-11-10,Family Emergency,1
142,23,2024-03-01,Family Emergency,1
143,24,2024-10-28,Personal Work,5
144,24,2024-08-14,Family Emergency,3
145,24,2024-12-23,Maternity/Paternity Leave,2
146,24,2024-07-08,Medical Leave,1
147,24,2024-02-25,Family Emergency,2
148,24,2024-03-26,Maternity/Paternity Leave,3
149,24,2024-01-18,Personal Work,1
150,24,2024-08-05,Maternity/Paternity Leave,5
151,24,2024-11-17,Casual Leave,2
152,25,2024-10-27,Emergency Leave,3
153,25,2024-09-15,Maternity/Paternity Leave,1
154,25,2024-08-09,Family Emergency,5
155,25,2024-11-09,Maternity/Paternity Leave,5
156,25,2024-11-08,Maternity/Paternity Leave,1
157,25,2024-02-23,Family Emergency,1
158,25,2024-05-11,Personal Work,1
159,25,2024-03-05,Emergency Leave,1
160,25,2024-12-05,Family Emergency,3
161,26,2024-07-14,Maternity/Paternity Leave,1
162,26,2024-07-02,Emergency Leave,1
163,26,2024-07-25,Medical Leave,2
164,27,2024-08-01,Vacation,1
165,27,2024-07-28,Emergency Leave,5
166,27,2024-09-24,Family Emergency,3
167,27,2024-08-08,Emergency Leave,1
168,27,2024-08-01,Casual Leave,2
169,27,2024-11-22,Emergency Leave,5
170,27,2024-12-06,Maternity/Paternity Leave,5
171,27,2024-03-20,Medical Leave,2
172,28,2024-10-19,Medical Leave,3
173,28,2024-02-21,Sick Leave,2
174,28,2024-08-06,Vacation,1
175,28,2024-07-11,Maternity/Paternity Leave,1
176,28,2024-06-11,Emergency Leave,5
177,28,2024-05-25,Emergency Leave,5
178,28,2024-05-27,Maternity/Paternity Leave,1
179,28,2024-01-24,Medical Leave,2
180,29,2024-04-21,Medical Leave,1
181,29,2024-01-08,Medical Leave,1
182,29,2024-10-05,Sick Leave,1
183,29,2024-08-22,Family Emergency,1
184,29,2024-08-23,Casual Leave,1
185,29,2024-03-20,Personal Work,2
186,29,2024-03-10,Medical Leave,1
187,30,2024-10-22,Emergency Leave,2
188,30,2024-12-07,Family Emergency,1
189,30,2024-02-23,Vacation,5
190,30,2024-11-20,Personal Work,5
191,30,2024-10-26,Casual Leave,1
192,30,2024-09-14,Casual Leave,3
193,31,2024-09-21,Medical Leave,1
194,31,2024-07-27,Personal Work,2
195,31,2024-07-12,Maternity/Paternity Leave,3
196,32,2024-07-06,Vacation,3
197,32,2024-10-26,Maternity/Paternity Leave,2
198,32,2024-08-14,Vacation,5
199,32,2024-06-28,Personal Work,1
200,33,2024-08-08,Maternity/Paternity Leave,5
201,33,2024-10-20,Emergency Leave,3
202,33,2024-06-01,Casual Leave,2
203,33,2024-03-16,Casual Leave,1
204,33,2024-05-11,Vacation,1
205,33,2024-09-01,Family Emergency,2
206,34,2024-04-24,Maternity/Paternity Leave,2
207,34,2024-09-25,Maternity/Paternity Leave,1
208,34,2024-11-23,Maternity/Paternity Leave,2
209,35,2024-02-10,Emergency Leave,1
210,35,2024-12-08,Casual Leave,1
211,36,2024-09-17,Emergency Leave,1
212,36,2024-12-18,Casual Leave,1
213,36,2024-12-15,Vacation,1
214,36,2024-05-08,Family Emergency,1
215,36,2024-06-04,Sick Leave,3
216,36,2024-04-07,Maternity/Paternity Leave,3
217,36,2024-05-24,Vacation,2
218,36,2024-02-27,Vacation,1
219,36,2024-04-12,Vacation,1
220,37,2024-12-18,Vacation,1
221,37,2024-01-02,Vacation,2
222,38,2024-11-28,Maternity/Paternity Leave,5
223,38,2024-02-28,Vacation,1
224,38,2024-08-16,Casual Leave,2
225,38,2024-03-02,Maternity/Paternity Leave,1
226,39,2024-02-13,Personal Work,2
227,39,2024-10-21,Medical Leave,3
228,39,2024-03-05,Vacation,5
229,40,2024-04-04,Emergency Leave,2
230,40,2024-10-20,Family Emergency,5
231,40,2024-09-13,Maternity/Paternity Leave,2
232,41,2024-10-14,Medical Leave,1
233,41,2024-10-24,Family Emergency,1
234,41,2024-11-07,Personal Work,1
235,41,2024-03-08,Personal Work,1
236,41,2024-03-01,Maternity/Paternity Leave,2
237,41,2024-12-20,Vacation,2
238,42,2024-04-10,Vacation,3
239,42,2024-12-28,Personal Work,2
240,43,2024-05-26,Family Emergency,5
241,43,2024-07-04,Family Emergency,2
242,43,2024-11-05,Sick Leave,1
243,43,2024-02-02,Vacation,1
244,43,2024-10-24,Vacation,5
245,44,2024-02-15,Vacation,3
246,44,2024-12-13,Maternity/Paternity Leave,1
247,44,2024-08-03,Medical Leave,2
248,44,2024-07-24,Vacation,1
249,44,2024-01-03,Medical Leave,1
250,44,2024-11-27,Medical Leave,1
251,44,2024-03-16,Maternity/Paternity Leave,2
252,44,2024-05-06,Emergency Leave,2
253,44,2024-11-27,Personal Work,2
254,45,2024-06-14,Casual Leave,1
255,45,2024-11-04,Sick Leave,5
256,45,2024-06-14,Maternity/Paternity Leave,3
257,45,2024-05-22,Medical Leave,2
258,45,2024-08-03,Vacation,1
259,45,2024-06-04,Emergency Leave,5
260,45,2024-09-27,Maternity/Paternity Leave,1
261,45,2024-07-02,Casual Leave,1
262,45,2024-10-25,Maternity/Paternity Leave,2
263,46,2024-04-09,Sick Leave,2
264,46,2024-05-15,Maternity/Paternity Leave,3
265,47,2024-01-21,Family Emergency,2
266,47,2024-12-06,Medical Leave,1
267,47,2024-09-14,Family Emergency,1
268,48,2024-08-04,Sick Leave,3
269,48,2024-08-23,Vacation,1
270,48,2024-07-27,Maternity/Paternity Leave,2
271,49,2024-08-18,Emergency Leave,1
272,49,2024-04-20,Sick Leave,2
273,49,2024-02-09,Emergency Leave,5
274,49,2024-06-26,Vacation,2
275,49,2024-01-10,Vacation,3
276,50,2024-03-15,Maternity/Paternity Leave,2
277,50,2024-06-11,Emergency Leave,2
278,50,2024-08-11,Family Emergency,5
279,50,2024-12-08,Emergency Leave,2
280,50,2024-04-28,Emergency Leave,5
281,50,2024-01-11,Maternity/Paternity Leave,3
282,50,2024-12-26,Emergency Leave,2
283,50,2024-11-26,Sick Leave,5
284,50,2024-08-02,Casual Leave,1
285,51,2024-08-04,Maternity/Paternity Leave,2
286,51,2024-01-24,Emergency Leave,1
287,51,2024-11-05,Maternity/Paternity Leave,1
288,52,2024-06-20,Emergency Leave,3
289,52,2024-11-03,Casual Leave,5
290,52,2024-11-28,Emergency Leave,2
291,52,2024-06-21,Maternity/Paternity Leave,3
292,52,2024-09-02,Personal Work,2
293,52,2024-04-21,Vacation,3
294,53,2024-12-03,Personal Work,2
295,53,2024-11-23,Personal Work,5
296,53,2024-08-06,Vacation,3
297,53,2024-01-02,Medical Leave,1
298,53,2024-05-12,Emergency Leave,1
299,54,2024-04-17,Sick Leave,2
300,54,2024-03-06,Emergency Leave,1
301,54,2024-10-22,Maternity/Paternity Leave,1
302,54,2024-10-05,Maternity/Paternity Leave,1
303,55,2024-08-09,Medical Leave,3
304,55,2024-08-10,Sick Leave,3
305,55,2024-02-15,Vacation,1
306,55,2024-11-14,Vacation,3
307,55,2024-08-28,Family Emergency,1
308,55,2024-07-28,Personal Work,2
309,56,2024-07-19,Vacation,1
310,56,2024-12-10,Emergency Leave,1
311,56,2024-05-01,Medical Leave,2
312,56,2024-10-24,Vacation,2
313,56,2024-04-20,Casual Leave,5
314,57,2024-11-07,Vacation,2
315,57,2024-11-25,Sick Leave,3
316,57,2024-11-04,Medical Leave,3
317,57,2024-05-26,Medical Leave,2
318,57,2024-10-12,Sick Leave,3
319,58,2024-05-11,Emergency Leave,3
320,58,2024-03-07,Casual Leave,1
321,58,2024-09-17,Sick Leave,1
322,59,2024-08-26,Casual Leave,1
323,59,2024-02-15,Sick Leave,1
324,59,2024-04-28,Emergency Leave,3
325,59,2024-09-12,Emergency Leave,1
326,59,2024-01-09,Personal Work,2
327,59,2024-08-12,Vacation,3
328,60,2024-11-12,Family Emergency,1
329,60,2024-08-01,Casual Leave,2
330,60,2024-10-08,Personal Work,3
331,60,2024-11-27,Vacation,2
332,60,2024-11-14,Sick Leave,1
333,60,2024-01-02,Maternity/Paternity Leave,1
334,60,2024-02-04,Sick Leave,1
335,60,2024-07-15,Emergency Leave,1
