PayrollID,EmpID,JobID,SalaryID,Date,Report,TotalAmount,RaiseApplied
82,7,7,7,2024-10-31,October Payroll,79845,N
83,7,7,7,2024-11-30,November Payroll,79131,N
84,7,7,7,2024-12-31,December Payroll,79485,N
85,8,8,8,2024-01-31,January Payroll,41859,N
86,8,8,8,2024-02-29,February Payroll,41320,N
87,8,8,8,2024-03-31,March Payroll,41877,N
88,8,8,8,2024-04-30,April Payroll,42277,N
89,8,8,8,2024-05-31,May Payroll,41789,N
90,8,8,8,2024-06-30,June Payroll,41416,N
91,8,8,8,2024-07-31,July Payroll,42711,N
92,8,8,8,2024-08-31,August Payroll,41273,N
93,8,8,8,2024-09-30,September Payroll,42557,N
94,8,8,8,2024-10-31,October Payroll,41317,N
95,8,8,8,2024-11-30,November Payroll,41322,N
96,8,8,8,2024-12-31,December Payroll,42401,N
97,9,9,9,2024-01-31,January Payroll,55124,N
98,9,9,9,2024-02-29,February Payroll,55190,N
99,9,9,9,2024-03-31,March Payroll,55135,N
100,9,9,9,2024-04-30,April Payroll,54625,N
101,9,9,9,2024-05-31,May Payroll,54169,N
102,9,9,9,2024-06-30,June Payroll,54678,N
103,9,9,9,2024-07-31,July Payroll,55364,N
104,9,9,9,2024-08-31,August Payroll,55551,N
105,9,9,9,2024-09-30,September Payroll,55810,N
106,9,9,9,2024-10-31,October Payroll,55486,N
107,9,9,9,2024-11-30,November Payroll,56030,N
108,9,9,9,2024-12-31,December Payroll,55221,N
109,10,10,10,2024-01-31,January Payroll,47337,N
110,10,10,10,2024-02-29,February Payroll,47966,N
111,10,10,10,2024-03-31,March Payroll,48667,N
112,10,10,10,2024-04-30,April Payroll,47712,N
113,10,10,10,2024-05-31,May Payroll,48108,N
114,10,10,10,2024-06-30,June Payroll,47261,N
115,10,10,10,2024-07-31,July Payroll,47575,N
116,10,10,10,2024-08-31,August Payroll,47474,N
117,10,10,10,2024-09-30,September Payroll,52686,Y
118,10,10,10,2024-10-31,October Payroll,52964,N
119,10,10,10,2024-11-30,November Payroll,53401,N
120,10,10,10,2024-12-31,December Payroll,53093,N
121,11,11,11,2024-01-31,January Payroll,52118,N
122,11,11,11,2024-02-29,February Payroll,52227,N
123,11,11,11,2024-03-31,March Payroll,52328,N
124,11,11,11,2024-04-30,April Payroll,52402,N
125,11,11,11,2024-05-31,May Payroll,51020,N
126,11,11,11,2024-06-30,June Payroll,51528,N
127,11,11,11,2024-07-31,July Payroll,52546,N
128,11,11,11,2024-08-31,August Payroll,52877,N
129,11,11,11,2024-09-30,September Payroll,51690,N
130,11,11,11,2024-10-31,October Payroll,51337,N
131,11,11,11,2024-11-30,November Payroll,51258,N
132,11,11,11,2024-12-31,December Payroll,52327,N
133,12,12,12,2024-01-31,January Payroll,88310,N
134,12,12,12,2024-02-29,February Payroll,90886,N
135,12,12,12,2024-03-31,March Payroll,88974,N
136,12,12,12,2024-04-30,April Payroll,89711,N
137,12,12,12,2024-05-31,May Payroll,89427,N
138,12,12,12,2024-06-30,June Payroll,89532,N
139,12,12,12,2024-07-31,July Payroll,90798,N
140,12,12,12,2024-08-31,August Payroll,90997,N
141,12,12,12,2024-09-30,September Payroll,90243,N
142,12,12,12,2024-10-31,October Payroll,98535,Y
143,12,12,12,2024-11-30,November Payroll,98405,N
144,12,12,12,2024-12-31,December Payroll,98825,N
145,13,13,13,2024-01-31,January Payroll,60418,N
146,13,13,13,2024-02-29,February Payroll,59453,N
147,13,13,13,2024-03-31,March Payroll,60389,N
148,13,13,13,2024-04-30,April Payroll,59966,N
149,13,13,13,2024-05-31,May Payroll,59861,N
150,13,13,13,2024-06-30,June Payroll,59456,N
151,13,13,13,2024-07-31,July Payroll,60612,N
152,13,13,13,2024-08-31,August Payroll,59073,N
153,13,13,13,2024-09-30,September Payroll,59832,N
154,13,13,13,2024-10-31,October Payroll,59480,N
155,13,13,13,2024-11-30,November Payroll,60428,N
156,13,13,13,2024-12-31,December Payroll,59968,N
157,14,14,14,2024-01-31,January Payroll,37309,N
158,14,14,14,2024-02-29,February Payroll,37841,N
159,14,14,14,2024-03-31,March Payroll,38151,N
160,14,14,14,2024-04-30,April Payroll,37252,N
161,14,14,14,2024-05-31,May Payroll,37698,N
162,14,14,14,2024-06-30,June Payroll,37561,N
163,14,14,14,2024-07-31,July Payroll,37449,N
164,14,14,14,2024-08-31,August Payroll,37628,N
165,14,14,14,2024-09-30,September Payroll,37739,N
166,14,14,14,2024-10-31,October Payroll,37252,N
167,14,14,14,2024-11-30,November Payroll,38375,N
168,14,14,14,2024-12-31,December Payroll,37507,N
169,15,15,15,2024-01-31,January Payroll,55129,N
170,15,15,15,2024-02-29,February Payroll,55370,N
171,15,15,15,2024-03-31,March Payroll,54679,N
172,15,15,15,2024-04-30,April Payroll,54774,N
173,15,15,15,2024-05-31,May Payroll,55532,N
174,15,15,15,2024-06-30,June Payroll,54860,N
175,15,15,15,2024-07-31,July Payroll,54911,N
176,15,15,15,2024-08-31,August Payroll,54071,N
177,15,15,15,2024-09-30,September Payroll,54589,N
178,15,15,15,2024-10-31,October Payroll,58849,Y
179,15,15,15,2024-11-30,November Payroll,58790,N
180,15,15,15,2024-12-31,December Payroll,59346,N
181,16,16,16,2024-01-31,January Payroll,52629,N
182,16,16,16,2024-02-29,February Payroll,53639,N
183,16,16,16,2024-03-31,March Payroll,53250,N
184,16,16,16,2024-04-30,April Payroll,53704,N
185,16,16,16,2024-05-31,May Payroll,53890,N
186,16,16,16,2024-06-30,June Payroll,52127,N
187,16,16,16,2024-07-31,July Payroll,53730,N
188,16,16,16,2024-08-31,August Payroll,55188,Y
189,16,16,16,2024-09-30,September Payroll,55959,N
190,16,16,16,2024-10-31,October Payroll,55814,N
191,16,16,16,2024-11-30,November Payroll,55528,N
192,16,16,16,2024-12-31,December Payroll,55337,N
193,17,17,17,2024-01-31,January Payroll,46204,N
194,17,17,17,2024-02-29,February Payroll,47250,N
195,17,17,17,2024-03-31,March Payroll,47058,N
196,17,17,17,2024-04-30,April Payroll,46425,N
197,17,17,17,2024-05-31,May Payroll,47519,N
198,17,17,17,2024-06-30,June Payroll,46720,N
199,17,17,17,2024-07-31,July Payroll,53984,Y
200,17,17,17,2024-08-31,August Payroll,53320,N
201,17,17,17,2024-09-30,September Payroll,52265,N
202,17,17,17,2024-10-31,October Payroll,52170,N
203,17,17,17,2024-11-30,November Payroll,52494,N
204,17,17,17,2024-12-31,December Payroll,52320,N
205,18,18,18,2024-01-31,January Payroll,61083,N
206,18,18,18,2024-02-29,February Payroll,60307,N
207,18,18,18,2024-03-31,March Payroll,59913,N
208,18,18,18,2024-04-30,April Payroll,60153,N
209,18,18,18,2024-05-31,May Payroll,60191,N
210,18,18,18,2024-06-30,June Payroll,60435,N
211,18,18,18,2024-07-31,July Payroll,60917,N
212,18,18,18,2024-08-31,August Payroll,60343,N
213,18,18,18,2024-09-30,September Payroll,61168,N
214,18,18,18,2024-10-31,October Payroll,63003,Y
215,18,18,18,2024-11-30,November Payroll,64647,N
216,18,18,18,2024-12-31,December Payroll,62985,N
217,19,19,19,2024-01-31,January Payroll,94882,N
218,19,19,19,2024-02-29,February Payroll,95499,N
219,19,19,19,2024-03-31,March Payroll,96126,N
220,19,19,19,2024-04-30,April Payroll,95347,N
221,19,19,19,2024-05-31,May Payroll,94437,N
222,19,19,19,2024-06-30,June Payroll,93382,N
223,19,19,19,2024-07-31,July Payroll,94855,N
224,19,19,19,2024-08-31,August Payroll,93243,N
225,19,19,19,2024-09-30,September Payroll,94501,N
226,19,19,19,2024-10-31,October Payroll,94191,N
227,19,19,19,2024-11-30,November Payroll,95550,N
228,19,19,19,2024-12-31,December Payroll,96814,N
229,20,20,20,2024-01-31,January Payroll,114828,N
230,20,20,20,2024-02-29,February Payroll,115250,N
231,20,20,20,2024-03-31,March Payroll,116342,N
232,20,20,20,2024-04-30,April Payroll,116821,N
233,20,20,20,2024-05-31,May Payroll,114769,N
234,20,20,20,2024-06-30,June Payroll,116425,N
235,20,20,20,2024-07-31,July Payroll,115698,N
236,20,20,20,2024-08-31,August Payroll,114179,N
237,20,20,20,2024-09-30,September Payroll,126458,Y
238,20,20,20,2024-10-31,October Payroll,124814,N
239,20,20,20,2024-11-30,November Payroll,124363,N
240,20,20,20,2024-12-31,December Payroll,124574,N
241,21,21,21,2024-01-31,January Payroll,94405,N
242,21,21,21,2024-02-29,February Payroll,95814,N
243,21,21,21,2024-03-31,March Payroll,95017,N
244,21,21,21,2024-04-30,April Payroll,93756,N
245,21,21,21,2024-05-31,May Payroll,94041,N
246,21,21,21,2024-06-30,June Payroll,94763,N
247,21,21,21,2024-07-31,July Payroll,94770,N
248,21,21,21,2024-08-31,August Payroll,95086,N
249,21,21,21,2024-09-30,September Payroll,93703,N
250,21,21,21,2024-10-31,October Payroll,94517,N
251,21,21,21,2024-11-30,November Payroll,94175,N
252,21,21,21,2024-12-31,December Payroll,94653,N
253,22,22,22,2024-01-31,January Payroll,105550,N
254,22,22,22,2024-02-29,February Payroll,104306,N
255,22,22,22,2024-03-31,March Payroll,104285,N
256,22,22,22,2024-04-30,April Payroll,105243,N
257,22,22,22,2024-05-31,May Payroll,104524,N
258,22,22,22,2024-06-30,June Payroll,103958,N
259,22,22,22,2024-07-31,July Payroll,106477,N
260,22,22,22,2024-08-31,August Payroll,106951,N
261,22,22,22,2024-09-30,September Payroll,111255,Y
262,22,22,22,2024-10-31,October Payroll,109250,N
263,22,22,22,2024-11-30,November Payroll,108945,N
264,22,22,22,2024-12-31,December Payroll,111525,N
265,23,23,23,2024-01-31,January Payroll,84355,N
266,23,23,23,2024-02-29,February Payroll,85531,N
267,23,23,23,2024-03-31,March Payroll,85551,N
268,23,23,23,2024-04-30,April Payroll,83738,N
269,23,23,23,2024-05-31,May Payroll,85710,N
270,23,23,23,2024-06-30,June Payroll,83588,N
271,23,23,23,2024-07-31,July Payroll,85200,N
272,23,23,23,2024-08-31,August Payroll,85488,N
273,23,23,23,2024-09-30,September Payroll,84417,N
274,23,23,23,2024-10-31,October Payroll,83734,N
275,23,23,23,2024-11-30,November Payroll,85690,N
276,23,23,23,2024-12-31,December Payroll,86520,N
277,24,24,24,2024-01-31,January Payroll,96567,N
278,24,24,24,2024-02-29,February Payroll,93455,N
279,24,24,24,2024-03-31,March Payroll,95648,N
280,24,24,24,2024-04-30,April Payroll,95032,N
281,24,24,24,2024-05-31,May Payroll,93169,N
282,24,24,24,2024-06-30,June Payroll,94274,N
283,24,24,24,2024-07-31,July Payroll,96714,N
284,24,24,24,2024-08-31,August Payroll,94399,N
285,24,24,24,2024-09-30,September Payroll,96011,N
286,24,24,24,2024-10-31,October Payroll,93830,N
287,24,24,24,2024-11-30,November Payroll,96900,N
288,24,24,24,2024-12-31,December Payroll,93689,N
289,25,25,25,2024-01-31,January Payroll,72115,N
290,25,25,25,2024-02-29,February Payroll,72687,N
291,25,25,25,2024-03-31,March Payroll,72076,N
292,25,25,25,2024-04-30,April Payroll,72466,N
293,25,25,25,2024-05-31,May Payroll,80449,Y
294,25,25,25,2024-06-30,June Payroll,79630,N
295,25,25,25,2024-07-31,July Payroll,79564,N
296,25,25,25,2024-08-31,August Payroll,78159,N
297,25,25,25,2024-09-30,September Payroll,78244,N
298,25,25,25,2024-10-31,October Payroll,79867,N
299,25,25,25,2024-11-30,November Payroll,79651,N
300,25,25,25,2024-12-31,December Payroll,80532,N
301,26,26,26,2024-01-31,January Payroll,103084,N
302,26,26,26,2024-02-29,February Payroll,104430,N
303,26,26,26,2024-03-31,March Payroll,105922,N
304,26,26,26,2024-04-30,April Payroll,106972,N
305,26,26,26,2024-05-31,May Payroll,105465,N
306,26,26,26,2024-06-30,June Payroll,106060,N
307,26,26,26,2024-07-31,July Payroll,106192,N
308,26,26,26,2024-08-31,August Payroll,103883,N
309,26,26,26,2024-09-30,September Payroll,103905,N
310,26,26,26,2024-10-31,October Payroll,106956,N
311,26,26,26,2024-11-30,November Payroll,106194,N
312,26,26,26,2024-12-31,December Payroll,106697,N
313,27,27,27,2024-01-31,January Payroll,99899,N
314,27,27,27,2024-02-29,February Payroll,97850,N
315,27,27,27,2024-03-31,March Payroll,97145,N
316,27,27,27,2024-04-30,April Payroll,97537,N
317,27,27,27,2024-05-31,May Payroll,98108,N
318,27,27,27,2024-06-30,June Payroll,99828,N
319,27,27,27,2024-07-31,July Payroll,99242,N
320,27,27,27,2024-08-31,August Payroll,99181,N
321,27,27,27,2024-09-30,September Payroll,96583,N
322,27,27,27,2024-10-31,October Payroll,111060,Y
323,27,27,27,2024-11-30,November Payroll,112815,N
324,27,27,27,2024-12-31,December Payroll,113861,N
325,28,28,28,2024-01-31,January Payroll,118092,N
326,28,28,28,2024-02-29,February Payroll,121660,N
327,28,28,28,2024-03-31,March Payroll,121686,N
328,28,28,28,2024-04-30,April Payroll,118968,N
329,28,28,28,2024-05-31,May Payroll,121263,N
330,28,28,28,2024-06-30,June Payroll,118909,N
331,28,28,28,2024-07-31,July Payroll,121945,N
332,28,28,28,2024-08-31,August Payroll,118307,N
333,28,28,28,2024-09-30,September Payroll,119700,N
334,28,28,28,2024-10-31,October Payroll,122143,N
335,28,28,28,2024-11-30,November Payroll,118666,N
336,28,28,28,2024-12-31,December Payroll,119765,N
337,29,29,29,2024-01-31,January Payroll,129462,N
338,29,29,29,2024-02-29,February Payroll,129345,N
339,29,29,29,2024-03-31,March Payroll,129408,N
340,29,29,29,2024-04-30,April Payroll,127824,N
341,29,29,29,2024-05-31,May Payroll,140330,Y
342,29,29,29,2024-06-30,June Payroll,140865,N
343,29,29,29,2024-07-31,July Payroll,139618,N
344,29,29,29,2024-08-31,August Payroll,143112,N
345,29,29,29,2024-09-30,September Payroll,140959,N
346,29,29,29,2024-10-31,October Payroll,139885,N
347,29,29,29,2024-11-30,November Payroll,139273,N
348,29,29,29,2024-12-31,December Payroll,144263,N
349,30,30,30,2024-01-31,January Payroll,106391,N
350,30,30,30,2024-02-29,February Payroll,106087,N
351,30,30,30,2024-03-31,March Payroll,104870,N
352,30,30,30,2024-04-30,April Payroll,105484,N
353,30,30,30,2024-05-31,May Payroll,106705,N
354,30,30,30,2024-06-30,June Payroll,102980,N
355,30,30,30,2024-07-31,July Payroll,103806,N
356,30,30,30,2024-08-31,August Payroll,103528,N
357,30,30,30,2024-09-30,September Payroll,106849,N
358,30,30,30,2024-10-31,October Payroll,105457,N
359,30,30,30,2024-11-30,November Payroll,104678,N
360,30,30,30,2024-12-31,December Payroll,106160,N
361,31,31,31,2024-01-31,January Payroll,114631,N
362,31,31,31,2024-02-29,February Payroll,116352,N
363,31,31,31,2024-03-31,March Payroll,114803,N
364,31,31,31,2024-04-30,April Payroll,113210,N
365,31,31,31,2024-05-31,May Payroll,123265,Y
366,31,31,31,2024-06-30,June Payroll,121768,N
367,31,31,31,2024-07-31,July Payroll,118953,N
368,31,31,31,2024-08-31,August Payroll,121374,N
369,31,31,31,2024-09-30,September Payroll,120047,N
370,31,31,31,2024-10-31,October Payroll,119570,N
371,31,31,31,2024-11-30,November Payroll,120956,N
372,31,31,31,2024-12-31,December Payroll,121856,N
373,32,32,32,2024-01-31,January Payroll,95639,N
374,32,32,32,2024-02-29,February Payroll,95089,N
375,32,32,32,2024-03-31,March Payroll,94470,N
376,32,32,32,2024-04-30,April Payroll,96723,N
377,32,32,32,2024-05-31,May Payroll,95168,N
378,32,32,32,2024-06-30,June Payroll,96088,N
379,32,32,32,2024-07-31,July Payroll,95029,N
380,32,32,32,2024-08-31,August Payroll,99581,Y
381,32,32,32,2024-09-30,September Payroll,103046,N
382,32,32,32,2024-10-31,October Payroll,99676,N
383,32,32,32,2024-11-30,November Payroll,101070,N
384,32,32,32,2024-12-31,December Payroll,101015,N
385,33,33,33,2024-01-31,January Payroll,119314,N
386,33,33,33,2024-02-29,February Payroll,117924,N
387,33,33,33,2024-03-31,March Payroll,118757,N
388,33,33,33,2024-04-30,April Payroll,120754,N
389,33,33,33,2024-05-31,May Payroll,118098,N
390,33,33,33,2024-06-30,June Payroll,120393,N
391,33,33,33,2024-07-31,July Payroll,121232,N
392,33,33,33,2024-08-31,August Payroll,118240,N
393,33,33,33,2024-09-30,September Payroll,119291,N
394,33,33,33,2024-10-31,October Payroll,119225,N
395,33,33,33,2024-11-30,November Payroll,120685,N
396,33,33,33,2024-12-31,December Payroll,121586,N
397,34,34,34,2024-01-31,January Payroll,137596,N
398,34,34,34,2024-02-29,February Payroll,134884,N
399,34,34,34,2024-03-31,March Payroll,133284,N
400,34,34,34,2024-04-30,April Payroll,133028,N
401,34,34,34,2024-05-31,May Payroll,136167,N
402,34,34,34,2024-06-30,June Payroll,137395,N
403,34,34,34,2024-07-31,July Payroll,132500,N
404,34,34,34,2024-08-31,August Payroll,133389,N
405,34,34,34,2024-09-30,September Payroll,136572,N
406,34,34,34,2024-10-31,October Payroll,137083,N
407,34,34,34,2024-11-30,November Payroll,134004,N
408,34,34,34,2024-12-31,December Payroll,133974,N
409,35,35,35,2024-01-31,January Payroll,147220,N
410,35,35,35,2024-02-29,February Payroll,150881,N
411,35,35,35,2024-03-31,March Payroll,148717,N
412,35,35,35,2024-04-30,April Payroll,152173,N
413,35,35,35,2024-05-31,May Payroll,147287,N
414,35,35,35,2024-06-30,June Payroll,150934,N
415,35,35,35,2024-07-31,July Payroll,148639,N
416,35,35,35,2024-08-31,August Payroll,151796,N
417,35,35,35,2024-09-30,September Payroll,164186,Y
418,35,35,35,2024-10-31,October Payroll,163943,N
419,35,35,35,2024-11-30,November Payroll,164204,N
420,35,35,35,2024-12-31,December Payroll,167606,N
421,36,36,36,2024-01-31,January Payroll,149985,N
422,36,36,36,2024-02-29,February Payroll,152546,N
423,36,36,36,2024-03-31,March Payroll,150116,N
424,36,36,36,2024-04-30,April Payroll,151807,N
425,36,36,36,2024-05-31,May Payroll,151362,N
426,36,36,36,2024-06-30,June Payroll,162165,Y
427,36,36,36,2024-07-31,July Payroll,165619,N
428,36,36,36,2024-08-31,August Payroll,167070,N
429,36,36,36,2024-09-30,September Payroll,165243,N
430,36,36,36,2024-10-31,October Payroll,163763,N
431,36,36,36,2024-11-30,November Payroll,162172,N
432,36,36,36,2024-12-31,December Payroll,166005,N
433,37,37,37,2024-01-31,January Payroll,167733,N
434,37,37,37,2024-02-29,February Payroll,169619,N
435,37,37,37,2024-03-31,March Payroll,169640,N
436,37,37,37,2024-04-30,April Payroll,171542,N
437,37,37,37,2024-05-31,May Payroll,172799,N
438,37,37,37,2024-06-30,June Payroll,170781,N
439,37,37,37,2024-07-31,July Payroll,169558,N
440,37,37,37,2024-08-31,August Payroll,170948,N
441,37,37,37,2024-09-30,September Payroll,192924,Y
442,37,37,37,2024-10-31,October Payroll,187324,N
443,37,37,37,2024-11-30,November Payroll,192006,N
444,37,37,37,2024-12-31,December Payroll,189985,N
445,38,38,38,2024-01-31,January Payroll,161599,N
446,38,38,38,2024-02-29,February Payroll,157824,N
447,38,38,38,2024-03-31,March Payroll,156999,N
448,38,38,38,2024-04-30,April Payroll,162231,N
449,38,38,38,2024-05-31,May Payroll,161140,N
450,38,38,38,2024-06-30,June Payroll,159604,N
451,38,38,38,2024-07-31,July Payroll,157608,N
452,38,38,38,2024-08-31,August Payroll,158310,N
453,38,38,38,2024-09-30,September Payroll,160929,N
454,38,38,38,2024-10-31,October Payroll,159118,N
455,38,38,38,2024-11-30,November Payroll,162877,N
456,38,38,38,2024-12-31,December Payroll,157007,N
457,39,39,39,2024-01-31,January Payroll,139283,N
458,39,39,39,2024-02-29,February Payroll,141473,N
459,39,39,39,2024-03-31,March Payroll,140414,N
460,39,39,39,2024-04-30,April Payroll,140165,N
461,39,39,39,2024-05-31,May Payroll,139429,N
462,39,39,39,2024-06-30,June Payroll,140838,N
463,39,39,39,2024-07-31,July Payroll,138598,N
464,39,39,39,2024-08-31,August Payroll,157805,Y
465,39,39,39,2024-09-30,September Payroll,161795,N
466,39,39,39,2024-10-31,October Payroll,160277,N
467,39,39,39,2024-11-30,November Payroll,159559,N
468,39,39,39,2024-12-31,December Payroll,160679,N
469,40,40,40,2024-01-31,January Payroll,49429,N
470,40,40,40,2024-02-29,February Payroll,50224,N
471,40,40,40,2024-03-31,March Payroll,50388,N
472,40,40,40,2024-04-30,April Payroll,50997,N
473,40,40,40,2024-05-31,May Payroll,49400,N
474,40,40,40,2024-06-30,June Payroll,49271,N
475,40,40,40,2024-07-31,July Payroll,55066,Y
476,40,40,40,2024-08-31,August Payroll,55287,N
477,40,40,40,2024-09-30,September Payroll,56498,N
478,40,40,40,2024-10-31,October Payroll,57134,N
479,40,40,40,2024-11-30,November Payroll,56716,N
480,40,40,40,2024-12-31,December Payroll,57068,N
481,41,41,41,2024-01-31,January Payroll,48322,N
482,41,41,41,2024-02-29,February Payroll,48402,N
483,41,41,41,2024-03-31,March Payroll,48096,N
484,41,41,41,2024-04-30,April Payroll,47597,N
485,41,41,41,2024-05-31,May Payroll,47616,N
486,41,41,41,2024-06-30,June Payroll,47342,N
487,41,41,41,2024-07-31,July Payroll,48402,N
488,41,41,41,2024-08-31,August Payroll,48384,N
489,41,41,41,2024-09-30,September Payroll,47374,N
490,41,41,41,2024-10-31,October Payroll,47734,N
491,41,41,41,2024-11-30,November Payroll,47471,N
492,41,41,41,2024-12-31,December Payroll,48931,N
493,42,42,42,2024-01-31,January Payroll,44526,N
494,42,42,42,2024-02-29,February Payroll,44989,N
495,42,42,42,2024-03-31,March Payroll,44750,N
496,42,42,42,2024-04-30,April Payroll,45130,N
497,42,42,42,2024-05-31,May Payroll,44941,N
498,42,42,42,2024-06-30,June Payroll,45869,N
499,42,42,42,2024-07-31,July Payroll,44334,N
500,42,42,42,2024-08-31,August Payroll,45692,N
501,42,42,42,2024-09-30,September Payroll,44218,N
502,42,42,42,2024-10-31,October Payroll,44817,N
503,42,42,42,2024-11-30,November Payroll,45390,N
504,42,42,42,2024-12-31,December Payroll,44962,N
505,43,43,43,2024-01-31,January Payroll,31884,N
506,43,43,43,2024-02-29,February Payroll,32096,N
507,43,43,43,2024-03-31,March Payroll,31520,N
508,43,43,43,2024-04-30,April Payroll,31766,N
509,43,43,43,2024-05-31,May Payroll,31455,N
510,43,43,43,2024-06-30,June Payroll,31956,N
511,43,43,43,2024-07-31,July Payroll,32022,N
512,43,43,43,2024-08-31,August Payroll,31524,N
513,43,43,43,2024-09-30,September Payroll,32421,N
514,43,43,43,2024-10-31,October Payroll,32066,N
515,43,43,43,2024-11-30,November Payroll,32112,N
516,43,43,43,2024-12-31,December Payroll,32343,N
517,44,44,44,2024-01-31,January Payroll,37324,N
518,44,44,44,2024-02-29,February Payroll,37429,N
519,44,44,44,2024-03-31,March Payroll,37473,N
520,44,44,44,2024-04-30,April Payroll,37490,N
521,44,44,44,2024-05-31,May Payroll,37730,N
522,44,44,44,2024-06-30,June Payroll,38318,N
523,44,44,44,2024-07-31,July Payroll,37766,N
524,44,44,44,2024-08-31,August Payroll,38670,N
525,44,44,44,2024-09-30,September Payroll,44046,Y
526,44,44,44,2024-10-31,October Payroll,43961,N
527,44,44,44,2024-11-30,November Payroll,42928,N
528,44,44,44,2024-12-31,December Payroll,43595,N
529,45,45,45,2024-01-31,January Payroll,41370,N
530,45,45,45,2024-02-29,February Payroll,41669,N
531,45,45,45,2024-03-31,March Payroll,42056,N
532,45,45,45,2024-04-30,April Payroll,42004,N
533,45,45,45,2024-05-31,May Payroll,41443,N
534,45,45,45,2024-06-30,June Payroll,42742,N
